date,home,away,score,p_home,p_draw,p_away,outcome,p_outcome
2026-06-13,Brazil,Morocco,1-1,0.3294,0.3401,0.3305,draw,0.3401
2026-06-13,Haiti,Scotland,0-1,0.1181,0.1924,0.6895,away win,0.6895
2026-06-13,Australia,Turkey,2-0,0.316,0.299,0.385,home win,0.316
2026-06-14,Germany,Curaçao,7-1,0.9481,0.041,0.0109,home win,0.9481
2026-06-14,Ivory Coast,Ecuador,1-0,0.1832,0.4138,0.4031,home win,0.1832
2026-06-14,Netherlands,Japan,2-2,0.3216,0.3152,0.3632,draw,0.3152
2026-06-14,Sweden,Tunisia,5-1,0.4538,0.278,0.2682,home win,0.4538
2026-06-15,Saudi Arabia,Uruguay,1-1,0.1179,0.3066,0.5755,draw,0.3066
2026-06-15,Spain,Cape Verde,0-0,0.8874,0.0876,0.025,draw,0.0876
2026-06-15,Belgium,Egypt,1-1,0.5316,0.293,0.1753,draw,0.293
2026-06-15,Iran,New Zealand,2-2,0.615,0.2631,0.1219,draw,0.2631
2026-06-16,France,Senegal,3-1,0.4857,0.2806,0.2336,home win,0.4857
2026-06-16,Argentina,Algeria,3-0,0.5701,0.301,0.1289,home win,0.5701
2026-06-16,Austria,Jordan,3-1,0.6718,0.2112,0.117,home win,0.6718
2026-06-17,England,Croatia,4-2,0.4994,0.3063,0.1943,home win,0.4994
2026-06-17,Ghana,Panama,1-0,0.3875,0.2982,0.3143,home win,0.3875
2026-06-17,Portugal,DR Congo,1-1,0.5637,0.2995,0.1369,draw,0.2995
2026-06-17,Uzbekistan,Colombia,1-3,0.1229,0.2497,0.6274,away win,0.6274
2026-06-18,Mexico,South Korea,1-0,0.5282,0.276,0.1959,home win,0.5282
2026-06-18,Switzerland,Bosnia and Herzegovina,4-1,0.6593,0.2226,0.1181,home win,0.6593
2026-06-18,Canada,Qatar,6-0,0.777,0.1604,0.0625,home win,0.777
2026-06-19,Brazil,Haiti,3-0,0.8794,0.0876,0.033,home win,0.8794
2026-06-19,United States,Australia,2-0,0.3151,0.2849,0.4001,home win,0.3151
2026-06-20,Netherlands,Sweden,5-1,0.6237,0.1948,0.1815,home win,0.6237
2026-06-20,Germany,Ivory Coast,2-1,0.5127,0.2841,0.2032,home win,0.5127
2026-06-21,Belgium,Iran,0-0,0.5598,0.2479,0.1923,draw,0.2479
2026-06-21,Spain,Saudi Arabia,4-0,0.8116,0.1434,0.0449,home win,0.8116
2026-06-22,France,Iraq,3-0,0.7848,0.1602,0.055,home win,0.7848
2026-06-22,Argentina,Austria,2-0,0.5735,0.3067,0.1198,home win,0.5735
2026-06-23,England,Ghana,0-0,0.7407,0.1929,0.0664,draw,0.1929
2026-06-23,Portugal,Uzbekistan,5-0,0.6751,0.2237,0.1012,home win,0.6751
2026-06-24,Mexico,Czech Republic,3-0,0.5934,0.2445,0.1621,home win,0.5934
2026-06-24,South Africa,South Korea,1-0,0.2021,0.3008,0.4971,home win,0.2021
2026-06-24,Canada,Switzerland,1-2,0.3269,0.2956,0.3775,away win,0.3775
2026-06-24,Morocco,Haiti,4-2,0.7649,0.1869,0.0482,home win,0.7649
2026-06-25,Japan,Sweden,1-1,0.6572,0.2045,0.1384,draw,0.2045
2026-06-25,Curaçao,Ivory Coast,0-2,0.053,0.1721,0.7749,away win,0.7749
2026-06-25,Paraguay,Australia,0-0,0.3101,0.3585,0.3313,draw,0.3585
2026-06-25,United States,Turkey,2-3,0.3865,0.2459,0.3677,away win,0.3677
2026-06-26,Egypt,Iran,1-1,0.3072,0.3461,0.3466,draw,0.3461
2026-06-26,Cape Verde,Saudi Arabia,0-0,0.338,0.3409,0.321,draw,0.3409
2026-06-26,Senegal,Iraq,5-0,0.6347,0.2456,0.1198,home win,0.6347
2026-06-27,Croatia,Ghana,2-1,0.5691,0.2712,0.1597,home win,0.5691
2026-06-27,DR Congo,Uzbekistan,3-1,0.4039,0.3903,0.2058,home win,0.4039
2026-06-27,Algeria,Austria,3-3,0.3184,0.3154,0.3662,draw,0.3154
