run_ts,n_matches,brier,logloss,uniform_brier,uniform_logloss
2026-06-17 02:01 UTC,11,0.7145,1.1343,0.6667,1.0986
2026-06-19 03:59 UTC,18,0.5946,0.9708,0.6667,1.0986
2026-06-20 03:43 UTC,21,0.5381,0.8943,0.6667,1.0986
2026-06-21 03:58 UTC,23,0.5232,0.8724,0.6667,1.0986
2026-06-24 04:14 UTC,29,0.4808,0.814,0.6667,1.0986
2026-06-25 04:22 UTC,31,0.494,0.8272,0.6667,1.0986
2026-06-26 02:39 UTC,35,0.4918,0.8288,0.6667,1.0986
2026-06-27 03:44 UTC,39,0.5028,0.843,0.6667,1.0986
2026-06-28 04:43 UTC,39,0.5028,0.843,0.6667,1.0986
2026-06-29 04:13 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-06-30 03:35 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-01 03:22 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-02 04:48 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-03 03:23 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-08 04:18 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-08 05:03 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-09 06:42 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-10 05:34 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-11 04:28 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-12 06:36 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-13 04:59 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-14 06:21 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-16 05:18 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-20 04:42 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-07-21 04:26 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-12 00:25 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-12 07:01 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-13 07:05 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-14 07:02 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-15 06:15 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-16 06:17 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-17 06:25 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-18 06:19 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-19 06:20 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-20 06:21 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-21 06:21 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-22 06:17 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-23 06:18 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-24 06:30 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-25 06:22 UTC,45,0.5033,0.8465,0.6667,1.0986
2026-08-26 06:23 UTC,45,0.5033,0.8465,0.6667,1.0986
