team,r32,r16,qf,sf,final,champion
Argentina,97.6,69.1,53.0,37.9,26.2,17.3
Spain,99.4,63.2,43.9,31.0,19.9,11.9
England,97.7,63.8,39.8,22.2,12.2,6.8
Brazil,96.9,58.3,36.1,22.0,11.4,5.9
Portugal,89.9,62.9,37.7,20.6,11.6,5.6
Morocco,94.3,54.4,33.3,19.4,10.2,5.3
France,90.6,61.2,34.9,20.4,10.2,5.2
Germany,98.1,64.4,36.1,20.0,9.5,4.6
Colombia,88.6,60.2,31.9,16.9,8.8,4.4
Netherlands,91.8,48.8,30.6,16.6,8.2,4.2
Japan,91.0,48.5,29.6,16.4,8.2,4.1
Belgium,95.0,63.7,36.6,17.0,8.6,3.7
Ecuador,94.2,54.4,27.8,14.4,6.6,3.2
Norway,88.9,55.6,29.3,14.6,6.4,3.0
Switzerland,98.0,63.4,29.9,13.6,6.3,2.9
Mexico,93.2,53.2,24.2,10.0,4.2,1.6
Austria,80.2,34.9,18.0,8.3,3.9,1.6
Croatia,92.0,43.4,18.3,8.0,3.0,1.2
Uruguay,88.4,34.8,18.2,8.3,3.6,1.2
Algeria,76.6,32.2,15.2,6.3,2.6,1.0
Canada,94.2,52.4,22.1,8.9,3.4,0.9
Senegal,71.6,36.7,16.3,7.0,2.6,0.8
Paraguay,71.7,36.3,14.8,4.7,1.6,0.7
Ivory Coast,83.4,35.9,14.8,5.3,1.8,0.6
Türkiye,75.0,38.2,15.2,4.9,1.7,0.5
Iran,78.7,36.7,12.8,4.2,1.5,0.5
Australia,65.8,30.6,11.5,3.7,1.4,0.4
USA,61.8,26.9,8.3,2.2,0.6,0.2
Scotland,71.7,25.4,9.5,2.9,0.8,0.2
Egypt,70.3,28.3,9.3,3.0,0.8,0.1
South Korea,71.1,27.3,8.1,2.3,0.5,0.1
Czechia,67.4,25.2,6.8,1.6,0.4,0.1
Sweden,49.5,13.5,4.4,0.9,0.3,0.1
Uzbekistan,33.4,10.1,2.7,0.8,0.2,0.1
DR Congo,51.3,21.0,6.7,1.9,0.5,0.1
Bosnia and Herzegovina,56.6,15.6,3.0,0.4,0.1,0.0
Tunisia,33.7,8.0,2.0,0.6,0.2,0.0
Haiti,9.6,1.1,0.1,0.0,0.0,0.0
South Africa,36.8,8.7,1.7,0.2,0.0,0.0
Qatar,12.8,1.4,0.1,0.0,0.0,0.0
Saudi Arabia,35.1,5.1,0.9,0.1,0.0,0.0
Cape Verde,26.1,3.0,0.7,0.1,0.0,0.0
New Zealand,21.9,3.9,0.4,0.0,0.0,0.0
Curaçao,4.1,0.2,0.0,0.0,0.0,0.0
Jordan,17.1,3.0,0.6,0.1,0.0,0.0
Iraq,19.0,4.9,1.0,0.1,0.0,0.0
Ghana,37.8,6.0,1.2,0.3,0.0,0.0
Panama,30.4,4.1,0.7,0.1,0.0,0.0
